prompt,class,environment,weather,amount
"

A rain-soaked zebra herd roams the open plains.",zebra,open plains,rainy,Multiple
"

A lone zebra in the open plains amidst a stormy weather.",zebra,open plains,stormy,Single
Two zebras in the open plains amidst a stormy weather.,zebra,open plains,stormy,Two
Three zebras roaming the open plains amidst a stormy weather.,zebra,open plains,stormy,Three
"

A herd of zebras in the open plains as a storm approaches, dark clouds looming overhead.",zebra,open plains,stormy,Multiple
"

A lone zebra in the open plains as fog rolls in, obscuring the horizon.",zebra,open plains,foggy,Single
Two zebras in the open plains shrouded in fog.,zebra,open plains,foggy,Two
Three zebras roaming the open plains in foggy weather.,zebra,open plains,foggy,Three
"

A dozen zebras roaming the open plains under a foggy sky.",zebra,open plains,foggy,Multiple
"

A lone zebra roams the open plains under a windy sky.",zebra,open plains,windy,Single
Two zebras roaming the open plains under a windy sky.,zebra,open plains,windy,Two
Three zebras roaming the open plains under a windy sky.,zebra,open plains,windy,Three
"

Multiple zebras roaming the open plains under a windy sky.",zebra,open plains,windy,Multiple
"

A single zebra in the open plains under clear skies.",zebra,open plains,clear,Single
Two zebras in the open plains under clear skies.,zebra,open plains,clear,Two
Three zebras roaming the open plains under clear skies.,zebra,open plains,clear,Three
"

Clear open plains populated by numerous zebras.",zebra,open plains,clear,Multiple
A lone zebra in the arid plains under the scorching sun.,zebra,open plains,dry season,Single
Two zebras in the open plains during the dry season.,zebra,open plains,dry season,Two
Three zebras roaming the open plains under the scorching sun of the dry season.,zebra,open plains,dry season,Three
A herd of zebras in the arid plains under a clear sky.,zebra,open plains,dry season,Multiple
A lone zebra in the open plains during the wet season.,zebra,open plains,wet season,Single
Two zebras in the wet plains.,zebra,open plains,wet season,Two
Three zebras roaming the open plains under a wet season sky.,zebra,open plains,wet season,Three
"

Multiple zebras in the open plains during the wet season.",zebra,open plains,wet season,Multiple
"

A single zebra among acacia trees under a sunny sky.",zebra,near acacia trees,sunny,Single
Two zebras near acacia trees under sunny weather.,zebra,near acacia trees,sunny,Two
Three zebras near acacia trees under sunny weather.,zebra,near acacia trees,sunny,Three
"

A group of zebras grazing in the shade of acacia trees under a sunny sky.",zebra,near acacia trees,sunny,Multiple
"

A lone zebra stands among near acacia trees under cloudy weather.",zebra,near acacia trees,cloudy,Single
Two zebras near acacia trees in cloudy weather.,zebra,near acacia trees,cloudy,Two
Three zebras near acacia trees in cloudy weather.,zebra,near acacia trees,cloudy,Three
"

A group of zebras grazing near acacia trees under cloudy weather.",zebra,near acacia trees,cloudy,Multiple
"

A single zebra among acacia trees in a rainy weather.",zebra,near acacia trees,rainy,Single
Two zebras near acacia trees in the rain.,zebra,near acacia trees,rainy,Two
Three zebras near acacia trees in the rain.,zebra,near acacia trees,rainy,Three
"

A dozen zebras grazing under acacia trees during a rain shower.",zebra,near acacia trees,rainy,Multiple
"

A lone zebra stands among near acacia trees as a storm approaches, the gray sky casting ominous shadows over its striped body.",zebra,near acacia trees,stormy,Single
Two zebras near acacia trees in a stormy weather.,zebra,near acacia trees,stormy,Two
Three zebras near acacia trees in a stormy weather.,zebra,near acacia trees,stormy,Three
"

A group of zebras huddled together in the shadow of near acacia trees during a stormy weather.",zebra,near acacia trees,stormy,Multiple
"

A lone zebra stands among near acacia trees in a foggy landscape.",zebra,near acacia trees,foggy,Single
Two zebras near acacia trees in foggy weather.,zebra,near acacia trees,foggy,Two
Three zebras near acacia trees in foggy weather.,zebra,near acacia trees,foggy,Three
"

A zebra herd grazes among near acacia trees in a foggy atmosphere.",zebra,near acacia trees,foggy,Multiple
"

A lone zebra stands among near acacia trees under a windy sky.",zebra,near acacia trees,windy,Single
Two zebras near acacia trees in windy weather.,zebra,near acacia trees,windy,Two
Three zebras near acacia trees in windy weather.,zebra,near acacia trees,windy,Three
"

A group of zebras grazing near acacia trees in a windy weather.",zebra,near acacia trees,windy,Multiple
"

A single zebra among acacia trees under clear skies.",zebra,near acacia trees,clear,Single
Two zebras near acacia trees in clear weather.,zebra,near acacia trees,clear,Two
Three zebras near acacia trees in clear weather.,zebra,near acacia trees,clear,Three
"

Multiple zebras among acacia trees under clear sky.",zebra,near acacia trees,clear,Multiple
A single zebra among acacia trees during the dry season.,zebra,near acacia trees,dry season,Single
Two zebras near acacia trees in a dry season.,zebra,near acacia trees,dry season,Two
Three zebras near acacia trees in a dry season.,zebra,near acacia trees,dry season,Three
"

Multiple zebras among acacia trees during the dry season.",zebra,near acacia trees,dry season,Multiple
"

A lone zebra stands among near acacia trees during the wet season.",zebra,near acacia trees,wet season,Single
Two zebras near acacia trees in wet season.,zebra,near acacia trees,wet season,Two
Three zebras near acacia trees in wet season.,zebra,near acacia trees,wet season,Three
"

Multiple zebras among acacia trees in a wet season.",zebra,near acacia trees,wet season,Multiple
"

A single zebra wading through a muddy river under a sunny sky.",zebra,muddy river,sunny,Single
Two zebras in a muddy river under a sunny sky.,zebra,muddy river,sunny,Two
Three zebras wading in a muddy river under a sunny sky.,zebra,muddy river,sunny,Three
"

A sunny day at the muddy riverbank, where multiple zebras wade in the shallow waters.",zebra,muddy river,sunny,Multiple
"

A single zebra wading through a muddy river under cloudy weather.",zebra,muddy river,cloudy,Single
Two zebras wading in a muddy river under cloudy weather.,zebra,muddy river,cloudy,Two
Three zebras wading in a muddy river under cloudy weather.,zebra,muddy river,cloudy,Three
"

A zebra herd wades through a muddy river under cloudy skies.",zebra,muddy river,cloudy,Multiple
"

A single zebra wading through a muddy river in the rain.",zebra,muddy river,rainy,Single
Two zebras wading in a muddy river under a rainy sky.,zebra,muddy river,rainy,Two
Three zebras wading in a muddy river under a rainy sky.,zebra,muddy river,rainy,Three
"

A zebra herd wades through a muddy river during a rainstorm.",zebra,muddy river,rainy,Multiple
"

A single zebra wading through a muddy river during a storm.",zebra,muddy river,stormy,Single
Two zebras wading in a muddy river during a storm.,zebra,muddy river,stormy,Two
Three zebras wading in a muddy river during a storm.,zebra,muddy river,stormy,Three
"

A zebra herd wades through a muddy river during a storm, their stripes muddied and indistinct.",zebra,muddy river,stormy,Multiple
"

A lone zebra wades through a muddy river in the foggy morning, its stripes blurred by the mist.",zebra,muddy river,foggy,Single
Two zebras wading in a foggy muddy river.,zebra,muddy river,foggy,Two
Three zebras wading in a foggy muddy river.,zebra,muddy river,foggy,Three
"

A zebra herd wades through a muddy river under foggy conditions.",zebra,muddy river,foggy,Multiple
"

A single zebra wading through a muddy river in a windy weather.",zebra,muddy river,windy,Single
Two zebras wading in a muddy river under windy conditions.,zebra,muddy river,windy,Two
Three zebras wading in a muddy river under windy conditions.,zebra,muddy river,windy,Three
"

A zebra herd wades through a muddy river under a windy sky.",zebra,muddy river,windy,Multiple
"

A single zebra wading through a muddy river under clear skies.",zebra,muddy river,clear,Single
Two zebras in a muddy river under clear skies.,zebra,muddy river,clear,Two
Three zebras wading in a muddy river under clear skies.,zebra,muddy river,clear,Three
"

A zebra herd wades through a muddy river under clear skies.",zebra,muddy river,clear,Multiple
"

A single zebra wading through a muddy river during the dry season.",zebra,muddy river,dry season,Single
Two zebras wading in a muddy river during the dry season.,zebra,muddy river,dry season,Two
Three zebras wading through a muddy river during the dry season.,zebra,muddy river,dry season,Three
"

A zebra herd wades through a muddy river during the dry season.",zebra,muddy river,dry season,Multiple
"

A single zebra wading through a muddy river during the wet season.",zebra,muddy river,wet season,Single
Two zebras wading in a muddy river during the wet season.,zebra,muddy river,wet season,Two
Three zebras wading through a muddy river during the wet season.,zebra,muddy river,wet season,Three
"

A zebra herd wades through a muddy river during the wet season.",zebra,muddy river,wet season,Multiple
"

A single zebra on a dusty trail under a sunny sky.",zebra,dusty trail,sunny,Single
Two zebras in a dusty trail under a sunny sky.,zebra,dusty trail,sunny,Two
Three zebras in a dusty trail under a sunny sky.,zebra,dusty trail,sunny,Three
"

A zebra herd in a sun-kissed trail, covered in a fine layer of dust.",zebra,dusty trail,sunny,Multiple
"

A lone zebra in the arid trail, surrounded by the hazy, grayish clouds.",zebra,dusty trail,cloudy,Single
Two zebras in a dusty trail under cloudy weather.,zebra,dusty trail,cloudy,Two
Three zebras in a dusty trail under cloudy weather.,zebra,dusty trail,cloudy,Three
"

A zebra herd in a cloudy trail, covered in dust.",zebra,dusty trail,cloudy,Multiple
"

A lone zebra in the arid trail, under a rain-soaked sky.",zebra,dusty trail,rainy,Single
Two zebras in a dusty trail under rainy weather.,zebra,dusty trail,rainy,Two
Three zebras in a dusty trail under rainy weather.,zebra,dusty trail,rainy,Three
"

A zebra herd in a dusty trail under a rainy sky.",zebra,dusty trail,rainy,Multiple
"

A lone zebra in the arid trail, as storm clouds gather on the horizon. Dust kicks up around its hooves, obscuring its stripes. The wind howls, carrying the distant rumble of thunder",zebra,dusty trail,stormy,Single
Two zebras in a dusty trail during a storm.,zebra,dusty trail,stormy,Two
Three zebras in a dusty trail during a storm.,zebra,dusty trail,stormy,Three
"

A zebra herd in a dusty trail during a stormy weather.",zebra,dusty trail,stormy,Multiple
"

A lone zebra in the arid trail, surrounded by a thick fog.",zebra,dusty trail,foggy,Single
"

Two zebras in a dusty trail with foggy weather.",zebra,dusty trail,foggy,Two
Three zebras in a dusty trail with foggy weather.,zebra,dusty trail,foggy,Three
"

A zebra herd in a foggy trail, covered in dust.",zebra,dusty trail,foggy,Multiple
"

A lone zebra on a dusty trail under a windy sky.",zebra,dusty trail,windy,Single
Two zebras in a dusty trail under windy conditions.,zebra,dusty trail,windy,Two
Three zebras in a dusty trail under windy conditions.,zebra,dusty trail,windy,Three
"

A zebra herd in a dusty trail under a windy sky.",zebra,dusty trail,windy,Multiple
"

A single zebra on a dusty trail under clear skies.",zebra,dusty trail,clear,Single
Two zebras in a dusty trail under clear skies.,zebra,dusty trail,clear,Two
Three zebras in a dusty trail under clear skies.,zebra,dusty trail,clear,Three
"

A zebra herd in a dusty trail under clear skies.",zebra,dusty trail,clear,Multiple
A lone zebra in the arid trail during the dry season.,zebra,dusty trail,dry season,Single
Two zebras in a dusty trail during the dry season.,zebra,dusty trail,dry season,Two
Three zebras in a dusty trail during the dry season.,zebra,dusty trail,dry season,Three
"

A zebra herd in a dusty trail during the dry season.",zebra,dusty trail,dry season,Multiple
"

A lone zebra in the arid trail, surrounded by golden sand, during the wet season with rain clouds looming overhead.",zebra,dusty trail,wet season,Single
Two zebras in a dusty trail during the wet season.,zebra,dusty trail,wet season,Two
Three zebras in a dusty trail during the wet season.,zebra,dusty trail,wet season,Three
